,address,city,state,country,propertyType,yearBuilt,size,bedrooms,bathrooms,mostRecentPriceAmount
147,02381 Joseph Unions,Mississauga,ON,Canada,Townhouse,2018,3217,4,4,2519973.43
148,1707 Haley Viaduct,Calgary,BC,Canada,Townhouse,1988,3289,1,1,1012154.34
149,6864 Christian Springs,Mississauga,ON,Canada,Semi-Detached,1974,1664,2,3,762477.51
150,607 Cory Throughway Apt. 575,Toronto,ON,Canada,Townhouse,1990,2543,4,3,1697460.0
151,628 Jasmine Lock,Toronto,AB,Canada,Condo,1983,3639,2,2,1145305.22
152,981 Alexander Forge Suite 211,Calgary,ON,Canada,Semi-Detached,1995,3099,3,2,1470327.07
153,457 Elizabeth Street Apt. 798,Ottawa,ON,Canada,Condo,1987,1845,1,3,1357771.38
154,258 Downs Plaza Apt. 283,Calgary,QC,Canada,Townhouse,2012,3749,5,1,2473961.62
155,207 Ashley Throughway,Toronto,QC,Canada,Semi-Detached,1983,3019,5,1,970514.75
156,3447 Golden Springs Suite 126,Calgary,ON,Canada,Condo,1974,2378,4,1,1040757.75
157,3841 Randy Road Apt. 793,Vancouver,QC,Canada,Condo,1996,3828,3,4,1737755.16
158,0244 Scott Mountain,Mississauga,AB,Canada,Semi-Detached,1976,3107,2,4,1930885.82
159,9171 Wilson Avenue,Ottawa,QC,Canada,Condo,2014,2769,3,3,1833446.3
160,522 Lori Lane,Ottawa,QC,Canada,Condo,1981,1812,1,3,1041787.4
161,06069 Ayala Throughway Apt. 257,Ottawa,AB,Canada,Detached,1982,2589,5,4,786568.47
162,10133 Joshua Ways,Calgary,QC,Canada,Condo,1989,1580,3,2,831641.69
163,210 Howard Grove Apt. 270,Mississauga,QC,Canada,Semi-Detached,1972,2313,1,2,1731473.09
164,78425 Kaylee Mountain Apt. 482,Calgary,ON,Canada,Detached,2020,3477,3,1,1641312.19
165,3765 Robert Road Suite 369,Vancouver,QC,Canada,Semi-Detached,1983,1734,3,2,794972.64
166,43862 Price Throughway Apt. 369,Mississauga,ON,Canada,Semi-Detached,1987,1489,1,3,582889.3
167,203 Martin Run,Mississauga,AB,Canada,Townhouse,2021,1107,3,4,704171.08
168,523 Bates Port Apt. 897,Mississauga,QC,Canada,Townhouse,2020,2144,3,4,974032.5
169,3801 Allen Mountain Suite 719,Ottawa,ON,Canada,Detached,2002,1045,3,3,556538.18
170,995 Kathy Islands Apt. 834,Vancouver,QC,Canada,Detached,1997,2238,3,4,1752609.62
171,036 Andre Land,Mississauga,AB,Canada,Townhouse,2013,977,1,3,353705.54
172,5775 Angela Coves,Ottawa,QC,Canada,Semi-Detached,1981,3586,1,2,2678156.13
173,275 Clay Crossing,Ottawa,QC,Canada,Detached,1988,3557,4,3,2507499.77
174,9006 Alexander Hill,Toronto,QC,Canada,Detached,2011,2003,1,1,1225006.66
175,49684 Weiss Stream Suite 028,Mississauga,ON,Canada,Detached,1993,3762,2,1,1557040.24
176,2981 Wilson Motorway,Toronto,BC,Canada,Condo,2012,1538,1,3,880332.53
177,5169 Tony Roads,Mississauga,BC,Canada,Detached,1996,3626,1,4,2515092.42
178,2310 Vargas Plaza Apt. 874,Vancouver,QC,Canada,Detached,1997,2848,3,3,2161291.17
179,72729 Wheeler Skyway Apt. 207,Mississauga,QC,Canada,Semi-Detached,2015,1340,3,3,760263.81
180,837 Samantha Locks Suite 665,Vancouver,ON,Canada,Townhouse,2001,2578,3,2,1543998.14
181,7204 Garrett Terrace,Toronto,ON,Canada,Semi-Detached,1990,2599,5,2,1998856.34
182,67862 Jacobs Club,Calgary,AB,Canada,Condo,1970,1734,4,3,1257211.46
183,614 Stephanie Lodge Apt. 036,Calgary,QC,Canada,Townhouse,2014,880,2,1,419789.15
184,91266 West Common Apt. 203,Ottawa,QC,Canada,Detached,2013,2708,5,2,2162980.38
185,70228 Mason Curve,Toronto,AB,Canada,Condo,1988,2493,5,3,960822.06
186,18910 David Plains,Mississauga,QC,Canada,Condo,1984,2179,3,3,938754.11
187,314 Perez Squares,Calgary,BC,Canada,Condo,2022,3723,4,2,2768064.01
188,099 Reynolds Forks,Ottawa,AB,Canada,Detached,2005,665,1,1,382483.75
189,36333 Virginia Mountains Suite 088,Vancouver,BC,Canada,Semi-Detached,2020,2408,4,2,1791933.22
190,32969 Tammie Lodge Suite 099,Ottawa,BC,Canada,Condo,1983,3730,3,3,1297910.89
191,9987 Julian Avenue,Toronto,QC,Canada,Townhouse,1973,1583,5,4,1187316.97
192,68378 Monica Burgs Apt. 584,Mississauga,ON,Canada,Condo,1989,1265,4,2,644909.25
193,29285 Chaney Estate,Mississauga,ON,Canada,Semi-Detached,1990,3037,2,1,1414109.18
194,413 Cooper Forges,Calgary,BC,Canada,Townhouse,1995,2455,2,3,1128676.42
195,5664 Carl Mews,Vancouver,BC,Canada,Condo,1992,1557,5,4,540784.99
196,6459 Nguyen Flat,Toronto,AB,Canada,Condo,1989,3461,3,3,1500493.08
197,421 Jackson Inlet Apt. 829,Ottawa,AB,Canada,Townhouse,1973,1770,4,1,1377253.66
198,37389 Andrea Summit,Toronto,AB,Canada,Semi-Detached,2020,2654,4,1,859248.3
199,012 Lisa Rue Apt. 068,Vancouver,BC,Canada,Condo,1971,692,2,3,469986.65
